"Incoming Message","Ný skilaboð",module,Magento_AdminNotification
"The message has been marked as Read.","Skilaboðin hafa verið merkt sem lesin.",module,Magento_AdminNotification
"Please select messages.","Vinsamlega veldu skilaboð°.",module,Magento_AdminNotification
"The message has been removed.","Skilaboðin hafa verið fjarlægð.",module,Magento_AdminNotification
"critical","alvarlegt",module,Magento_AdminNotification
"Manage Shopping Cart","Vinna með vörukörfu",module,Magento_AdvancedCheckout
"Create Order","Stofna pöntun",module,Magento_AdvancedCheckout
"Back","Til baka",module,Magento_AdvancedCheckout
"Add Products","Bæta við vörum",module,Magento_AdvancedCheckout
"Update Items and Quantities","Uppfæra vörur og magn",module,Magento_AdvancedCheckout
"Are you sure you want to clear your cart?","Ertu viss um að þú viljir tæma vörukörfuna?",module,Magento_AdvancedCheckout
"Clear my shopping cart","Tæma vörukörfu",module,Magento_AdvancedCheckout
"Cancel","Hætta við",module,Magento_AdvancedCheckout
"Product","Vara",module,Magento_AdvancedCheckout
"Price","Verð",module,Magento_AdvancedCheckout
"Quantity","Magn",module,Magento_AdvancedCheckout
"Products","Vörur",module,Magento_AdvancedCheckout
"Add to Shopping Cart","Setja í vörukörfu",module,Magento_AdvancedCheckout
"Wish List (%1)","Óskalisti (%1)",module,Magento_AdvancedCheckout
"Add to Order","Bæta vöru í pöntun,",module,Magento_AdvancedCheckout
"Add Products to Order","Bæta vörum við pöntun",module,Magento_AdvancedCheckout
"Remove All","Fjarlægja allt",module,Magento_AdvancedCheckout
"Only %1%2%3 left in stock","Aðeins %1%2%3 eftir á lager",module,Magento_AdvancedCheckout
"We can't find this customer.","Viðskiptamaður finnst ekki.",module,Magento_AdvancedCheckout
"Customers","Viðskiptavinir",module,Magento_AdvancedCheckout
"Shopping Cart","Vörukarfa",module,Magento_AdvancedCheckout
"Qty","Magn",module,Magento_AdvancedCheckout
"Subtotal","Samtals",module,Magento_AdvancedCheckout
"Discount","Afsláttur",module,Magento_AdvancedCheckout
"Subtotal:","Samtals:",module,Magento_AdvancedCheckout
"Place Order","Staðfesta pöntun",module,Magento_Authorizenet
"Orders","Pantanir",module,Magento_Backend
"Home","Heim",module,Magento_Backend
"Reset","Endurstilla",module,Magento_Backend
"Error","Villa",module,Magento_Backend
"Order","Pöntun",module,Magento_Backend
"Order #%1","Pöntun #%1",module,Magento_Backend
"Username","Notandanafn",module,Magento_Backend
"user name","nafn notanda",module,Magento_Backend
"Password","Lykilorð",module,Magento_Backend
"password","lykilorð",module,Magento_Backend
"Sign in","Innskráning",module,Magento_Backend
"Close","Loka",module,Magento_Backend
"Previous","Fyrri",module,Magento_Backend
"Next","Næsta",module,Magento_Backend
"per page","á síðu",module,Magento_Backend
"Position","Staðsetning",module,Magento_Banner
"Place Order","Staðfesta pöntun",module,Magento_Braintree
"Quantity:","Magn:",module,Magento_Bundle
"Position","Staðsetning",module,Magento_Bundle
"Default","Sjálfval",module,Magento_Bundle
"Ordered","Pantað",module,Magento_Bundle
"Shipped","Sent",module,Magento_Bundle
"Refunded","Endurgreitt",module,Magento_Bundle
"Canceled","Hætt við",module,Magento_Bundle
"Regular Price","Upphaflegt verð",module,Magento_Bundle
"From","Frá",module,Magento_Bundle
"To","Til",module,Magento_Bundle
"Go back to product details","Til baka í ítarupplýsingar vöru",module,Magento_Bundle
"In stock","Á lager",module,Magento_Bundle
"Out of stock","Uppselt",module,Magento_Bundle
"Summary","Samantekt",module,Magento_Bundle
"Quantity","Magn",module,Magento_Bundle
"From:","Frá:",module,Magento_Bundle
"To:","Til:",module,Magento_Bundle
"Message:","Skilaboð:",module,Magento_Bundle
"Product Name","Vöruheiti",module,Magento_Bundle
"Subtotal","Samtals",module,Magento_Bundle
"Discount Amount","Afsláttur",module,Magento_Bundle
"Select...","Velja...",module,Magento_Bundle
"Status","Staða",module,Magento_Bundle
"Special Price","Tilboð",module,Magento_Bundle
"Home","Heim",module,Magento_Catalog
"Go to Home Page","Fara á upphafssíðu",module,Magento_Catalog
"Discount","Afsláttur",module,Magento_Catalog
"Category","Flokkur",module,Magento_Catalog
"%1 and above","%1 og hærra",module,Magento_Catalog
"Qty","Magn",module,Magento_Catalog
"and above","og hærra",module,Magento_Catalog
"Shop By","Veldu flokk",module,Magento_Catalog
"Prev","Fyrri",module,Magento_Catalog
"Next","Næsta",module,Magento_Catalog
"We can't find products matching the selection.","Vara finnst ekki.",module,Magento_Catalog
"Learn More","Nánar",module,Magento_Catalog
"per page","á síðu",module,Magento_Catalog
"Sort By","Afmarka",module,Magento_Catalog
"Learn More Link","Nánar.",module,Magento_Catalog
"Learn more","Nánar",module,Magento_Catalog
"Category","Flokkur",module,Magento_CatalogEvent
"Qty","Magn",module,Magento_CatalogInventory
"Discount Amount","Afsláttur",module,Magento_CatalogRule
"Discount Amount","Afsláttur",module,Magento_CatalogRuleStaging
"Home","Heim",module,Magento_CatalogSearch
"Go to Home Page","Fara á upphafssíðu",module,Magento_CatalogSearch
". "" which is inconsistent with state of scope resolver"",". "" which is inconsistent with state of scope resolver""",module,Magento_CatalogSearch
"Category","Flokkur",module,Magento_CatalogSearch
"%1 and above","%1 og hærra",module,Magento_CatalogSearch
Shopping Cart"","Vörukarfa",module,Magento_Checkout
"Zip/Postal Code","Póstnúmer",module,Magento_Checkout
"My Cart (1 item)","Karfan mín (1 vara)",module,Magento_Checkout
"My Cart (%1 items)","Karfan mín (%1 vörur)",module,Magento_Checkout
"My Cart","Karfan mín",module,Magento_Checkout
" items"," vörur",module,Magento_Checkout
"Qty","Magn",module,Magento_Checkout
"Subtotal","Samtals",module,Magento_Checkout
"Continue Shopping","Skoða meira",module,Magento_Checkout
"You have no items in your shopping cart.","Vörukarfan þín er tóm.",module,Magento_Checkout
"Click <a href=""%1"">here</a> to continue shopping.","Smelltu <a href=""%1"">hér</a> til að versla.",module,Magento_Checkout
"Order #","Pöntun #",module,Magento_Checkout
"Your order # is: <span>%1</span>.","Pöntunarnúmerið þitt er: <span>%1</span>.",module,Magento_Checkout
